beta,A_SN,A_EP,A_H,gap_EP_minus_SN,gap_H_minus_EP
0.02,0.03918240822204674,0.03935417664119035,0.26832127800950184,0.0001717684191436114,0.2289671013683115
0.025,0.04871616981955451,0.04891055387814304,0.26853128650569846,0.0001943840585885287,0.21962073262755544
0.03,0.05814245692521461,0.058353046302811074,0.26878866305115956,0.00021058937759646512,0.2104356167483485
0.035,0.06746007955594019,0.0676812404087058,0.2690938338157416,0.00022116085276560615,0.2014125934070358
0.04,0.07666794986762927,0.076894776643292,0.26944730845762416,0.0002268267756627279,0.19255253181433216
0.045,0.08576508161840521,0.08599334893193877,0.2698496832662704,0.00022826731353356444,0.18385633433433163
0.05,0.09475058938206492,0.09497670415065369,0.2703016449028745,0.00022611476858877544,0.17532494075222083
0.05500000000000001,0.10362368751797361,0.10384464155107709,0.2708039747925036,0.00022095403310347372,0.16695933324142653
0.06,0.11238368890539183,0.11259701214097825,0.27135755423326513,0.00021332323558642674,0.15876054209228688
0.065,0.1210300034514205,0.121233718023197,0.2719633703007769,0.00020371457177650876,0.1507296522775799
0.07,0.12956213638308955,0.12975471169594788,0.27262252264132153,0.00019257531285832297,0.14286781094537365
0.075,0.13797968633516675,0.13815999531708476,0.27333623126498435,0.00018030898191800926,0.1351762359478996
0.08,0.14628234324631118,0.14644961993482083,0.2741058454713404,0.00016727668850965993,0.1276562255365196
0.085,0.15446988607698933,0.1546236846872805,0.27493285406579526,0.00015379861029116149,0.12030916937851477
0.09000000000000001,0.16254218036326756,0.16268233597303347,0.2758188970555097,0.00014015560976590735,0.11313656108247624
0.095,0.17049917562110387,0.1706257665946982,0.27676577905128497,0.00012659097359432603,0.10614001245658677
0.1,0.17834090261620295,0.17845421487754967,0.2777754846476286,0.00011331226134672634,0.09932126977007891
0.10500000000000001,0.18606747051464007,0.1861679637649354,0.27885019610962714,0.00010049325029534706,0.09268223234469172
0.11,0.19367906392965328,0.19376733989223777,0.2799923137652079,8.827596258448311e-05,0.08622497387297012
0.115,0.2011759398798523,0.2012527126409639,0.2812044795886943,7.677276111159315e-05,0.07995176694773043
0.12000000000000001,0.2085584246740055,0.20862449317451898,0.28248960457130184,6.606850051346647e-05,0.07386511139678287
0.125,0.21582691073720256,0.215883133457059,0.2838509006133168,5.622271985644689e-05,0.0679677671562578
0.13,0.22298185339283652,0.22302912525682314,0.2852919178502129,4.7271863986619866e-05,0.062262792593389765
0.135,0.23002376761431648,0.23006299913518963,0.2868165885536288,3.923152087315085e-05,0.056753589418439165
0.13999999999999999,0.23695322475985015,0.23698532342271192,0.28842927904517557,3.209866286177365e-05,0.05144395562246365
0.145,0.24377084930296133,0.2437967031832984,0.29013485145075657,2.5853880337073365e-05,0.04633814826745816
0.15,0.2504773155706946,0.25049777916762755,0.29193873763961076,2.0463596932973616e-05,0.0414409584719832
0.155,0.25707334450070024,0.2570892267569107,0.29384702838458227,1.588225621046435e-05,0.03675780162767156
0.16,0.2635597004275288,0.26357175489799306,0.2958665817191828,1.2054470464262224e-05,0.032294826821189726
0.16499999999999998,0.2699371879076957,0.2699461050308371,0.29800515575753694,8.917123141383154e-06,0.02805905072669984
0.16999999999999998,0.27620664859215144,0.2762130500093248,0.30027157304224905,6.40141717334064e-06,0.024058523032924273
0.175,0.2823689581539876,0.2823733930163607,0.3026759260321699,4.434862373114967e-06,0.0203025330158092
0.18,0.28842502327828784,0.2884279664741795,0.30522983701024226,2.943195891669248e-06,0.016801870536062746
0.185,0.29437577872021575,0.29437763095081315,0.307946791075482,1.8522305973989184e-06,0.013569160124668855
0.19,0.3002221844365824,0.30022327406358296,0.3108425689527851,1.0896270005722464e-06,0.010619294889202158
0.195,0.3059652227953066,0.30596580938056717,0.31393581873684734,5.865852605868582e-07,0.007970009356280172
0.19999999999999998,0.31160589586638837,0.31160617532090334,0.31724882519599334,2.79454514973132e-07,0.00564264987509
0.205,0.31714522279726454,0.3171453340548551,0.3208085669360611,1.1125759058483453e-07,0.003663232881205958
0.21,0.32258423727468605,0.3225842704045217,0.3246482049461306,3.3129835652623285e-08,0.002063934541608914
0.215,0.327923985074531,0.3279239907461083,0.32880923910260873,5.6715772633886274e-09,0.0008852483565004454
0.22,0.33316552170036723,0.33316552191466176,0.3333447396733791,2.142945265681817e-10,0.00017921775871732049
