beta,A,period,period_cv_last_five,cycle_closure_inf,trivial_multiplier_variational,trivial_multiplier_abs_error,inplane_exponent,inplane_multiplier_liouville,inplane_multiplier_variational,inplane_multiplier_relative_mismatch,transverse_exponent,transverse_multiplier,spectral_radius_nontrivial,n_detected_maxima
0.1,0.28,33.87046686642225,5.8174715352333874e-09,5.641227263097903e-09,0.999999821047621,1.7895237902632033e-07,-0.0006766375199034443,0.9773425945343575,0.9773427694321739,1.7895241385143415e-07,-0.12846340978648937,0.012892420934642953,0.9773425945343575,149
0.1,0.3,39.711800167058755,2.0484510596697478e-14,2.0339285811132868e-13,0.9999999999946746,5.325406782219488e-12,-0.006906869856117746,0.7601159925993567,0.7601159926034055,5.3265045935391194e-12,-0.13669031149697933,0.0043909119721408174,0.7601159925993567,149
0.1,0.33,55.164658422612774,2.544758551633914e-13,6.448175327022909e-13,0.9999999999876827,1.2317258324401337e-11,-0.01760154442116891,0.37871051224068014,0.3787105122453417,1.2309003246475353e-11,-0.15037998856140047,0.00024959755864511867,0.37871051224068014,48
0.06,0.32,43.36529612171216,1.511296857091567e-09,4.3890802103874194e-10,0.9999999903819464,9.618053575799479e-09,-0.00811486734096837,0.7033479037028623,0.7033479104676923,9.618042499121332e-09,-0.08726735586469112,0.022723066414002336,0.7033479037028623,57
0.06,0.325,45.18898787044054,5.2058998943841044e-11,1.1934009336300733e-11,0.9999999997558606,2.4413937538270147e-10,-0.00894874471640131,0.6673873169975645,0.6673873171604918,2.441271120051613e-10,-0.08840105330092478,0.0184119728916178,0.6673873169975645,54
0.06,0.335,49.33378619301311,6.372075380856819e-12,1.2083667400020204e-12,0.9999999999779889,2.201105964161343e-11,-0.01063258346074645,0.5918242287194236,0.5918242287324573,2.2022899046215048e-11,-0.09068453211074144,0.011403769524831414,0.5918242287194236,49
0.06,0.35,57.280060620687436,6.57561480793503e-13,1.901589996577968e-12,0.9999999999572784,4.272160403218095e-11,-0.013236039258926618,0.46852719542206167,0.4685271954420961,4.27604176754847e-11,-0.09418744800598304,0.004538935655670389,0.46852719542206167,43
0.06,0.365,68.78528349426006,8.029387795590819e-13,1.198152688175469e-12,0.9999999999583039,4.169609102433469e-11,-0.01604005889766036,0.3317677846751171,0.33176778468891355,4.158470053013382e-11,-0.09789092774190496,0.0011904127107333583,0.3317677846751171,36
0.06,0.375,80.43337817480051,8.985530003403393e-12,1.9163337583449902e-11,1.000000000477075,4.770750461347006e-10,-0.01815345985470922,0.23220281150471228,0.2322028113939304,4.770910522084048e-10,-0.1006039687666361,0.00030600256744845605,0.23220281150471228,31
0.06,0.385,100.08731701898705,1.1329722908996597e-11,1.6122214674396673e-11,1.0000000004640162,4.640161588298497e-10,-0.02074378853251179,0.12540708677431572,0.12540708671590417,4.657755384833876e-10,-0.10379393750722381,3.078580878388216e-05,0.12540708677431572,25
0.06,0.39,118.56699673135745,1.1971868462983909e-12,1.8680168523133034e-11,1.000000000947356,9.473559714479052e-10,-0.022500874111436888,0.06940050969254094,0.0694005096270941,9.430311489051534e-10,-0.10585084312002219,3.543425759041807e-06,0.06940050969254094,21
0.06,0.392,130.82605778274183,4.3452768582228636e-11,3.19246851177013e-11,1.0000000018343709,1.8343708774182232e-09,-0.02343032019730801,0.04664001459546508,0.04664001451021926,1.827739937237629e-09,-0.10690021721851327,8.438137898629639e-07,0.04664001459546508,22
0.06,0.394,151.3192318960555,6.244663694286641e-11,4.261124786353321e-11,1.0000000016221535,1.622153522617964e-09,-0.024689212131725483,0.023850439935345497,0.0238504398979279,1.5688430444131798e-09,-0.10827903716677206,7.659755080620342e-08,0.023850439935345497,21
0.06,0.395,170.73506718527187,7.687474208910409e-11,7.45969952475889e-12,1.0000000036086116,3.608611631733538e-09,-0.02563244054195468,0.012571078531236088,0.012571078487891185,3.447985963373163e-09,-0.10928222958514473,7.884959046641819e-09,0.012571078531236088,22
0.06,0.396,231.56098938260766,6.404975273545221e-10,2.987832203871221e-11,1.0000000301531187,3.0153118668607704e-08,-0.027629101230840166,0.0016651800608112265,0.0016651799978640858,3.780200247036438e-08,-0.11133885428008482,6.3552793558280666e-12,0.0016651800608112265,18
