beta,A,period,period_cv_last_five,half_peak_to_peak_r,transverse_floquet_exponent,transverse_multiplier,n_detected_maxima
0.1,0.3,39.71180015025038,3.0027726671304875e-10,0.238032639596058,-0.1366903114737188,0.004390911986285086,71
0.1,0.32,48.478710412712644,2.604293770890322e-13,0.3225315532023422,-0.14548399530404324,0.0008649174595861536,59
0.1,0.34,65.59809933132283,9.774981556935354e-13,0.3856065845540251,-0.15607549361284578,3.5775196738751906e-05,44
0.1,0.345,74.23016927819981,1.1065311794503339e-12,0.3996000676227857,-0.15959561925901403,7.1613658525451326e-06,38
0.1,0.348,82.24935226995694,2.933966977204272e-14,0.40785738473494726,-0.1622081569158442,1.606398503184935e-06,35
0.1,0.35,90.4252327800209,5.69781256244242e-12,0.41339641416761935,-0.1643950729056341,3.4995448443864786e-07,32
0.1,0.351,96.3763890140799,4.048759874925253e-12,0.41621331273869805,-0.16575288973613767,1.1542267849595699e-07,31
0.1,0.352,105.10360706086203,1.020577140603473e-11,0.41910927618438165,-0.16746454179400444,2.2694859375262675e-08,30
0.1,0.3525,111.66991790968541,2.230222997718004e-13,0.4206227668517821,-0.16857486019375162,6.6760402675762944e-09,31
0.1,0.353,121.83305938620606,2.2507734522799588e-11,0.42220025576081954,-0.1700557766024929,1.004862088948028e-09,30
0.1,0.3532,128.1849376191126,8.731850921165504e-12,0.42287691362651536,-0.17086127988040012,3.077164102661941e-10,31
0.1,0.3534,137.85304613205426,4.5050017290170816e-11,0.42359890844443626,-0.17194397027265174,5.080633491211855e-11,30
0.1,0.3535,145.56376434888898,8.126963740385082e-11,0.42398659647257164,-0.17270381065363408,1.2080641794604502e-11,31
0.1,0.35358,155.3579674120665,4.4633334442491454e-13,0.42430487564066494,-0.17355972871839226,1.9486453476460527e-12,31
0.1,0.35363,165.8577077720065,1.471198115054165e-12,0.4245404060950538,-0.17436463084454276,2.756297298542263e-13,31
0.1,0.35365,172.55422022190032,1.4625625677123922e-10,0.42464868482048757,-0.17482667601224125,7.917777506958701e-14,31
0.1,0.35366,177.0851599415837,1.035426354838558e-10,0.42471452262432197,-0.17511943406875763,3.4046369488696505e-14,32
0.1,0.35368,191.9291085568284,2.511883815095001e-10,0.4248414828465435,-0.17598155768827356,2.1442565709995977e-15,30
0.1,0.353688,204.30548757223005,1.3817949679483224e-10,0.42488383672439967,-0.17660447805785215,2.1384846930379312e-16,31
0.1,0.353692,216.13150232429143,2.1290924878664694e-09,0.42490394918373753,-0.1771329914728575,2.3629882428504727e-17,31
0.1,0.353694,226.99581318344735,4.508302886719679e-09,0.42495431808875167,-0.1775699661031386,3.1233083897791705e-18,31
0.1,0.353695,236.3487651543419,6.123793458176315e-11,0.4249293969026509,-0.17791396161782,5.470508834117486e-19,31
0.1,0.353696,255.88945627065186,1.5096922056244593e-08,0.4249675020919643,-0.17855148688979927,1.4365709129876407e-20,30
