beta,A_H,Omega_H,l1,direct_cubic,zero_frequency_feedback,second_harmonic
0.02,0.26832127800950156,0.21045532280543638,-0.04565225480104871,-0.007556910530819483,-0.07619068854045843,0.03809534427022921
0.03,0.2687886630511597,0.2093638715946144,-0.06973268113792358,-0.011443838766805086,-0.11657768474223734,0.058288842371118844
0.04,0.2694473084576243,0.20782725647000536,-0.09539948108574466,-0.01546545393648209,-0.15986805429852552,0.07993402714926294
0.05,0.27030164490287445,0.20583656737270592,-0.12332659060046458,-0.019674588876040407,-0.2073040034488484,0.10365200172442421
0.06,0.2713575542332656,0.20337985447756768,-0.15433381486923337,-0.024131719676116332,-0.2604041903862343,0.13020209519311726
0.07,0.2726225226413218,0.2004417055858654,-0.18945502159300776,-0.028908102879771174,-0.3210938374264735,0.16054691871323695
0.08,0.2741058454713402,0.197002662583673,-0.23003664197918094,-0.03408996393674779,-0.3918933560848659,0.19594667804243276
0.09000000000000001,0.27581889705550966,0.19303842147161196,-0.27788544388689246,-0.039784363766925464,-0.4762021602399329,0.23810108011996595
0.1,0.27777548464762836,0.18851873149039375,-0.3354980635573133,-0.04612762039247278,-0.5787408863296831,0.28937044316484256
0.11,0.2799923137652079,0.18340586231456796,-0.4064305874574302,-0.05329781998288072,-0.7062655349490994,0.3531327674745499
0.12000000000000001,0.28248960457130146,0.17765243059370908,-0.49591734866917425,-0.06153405041569205,-0.8687665965069648,0.43438329825348254
0.13,0.28529191785021274,0.17119824194883612,-0.6119539258917699,-0.07116706817289092,-1.0815737154377576,0.5407868577188786
