tag,beta,A,r,psi,J11,J12,J21,J22,trace,determinant,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,s,g,gcrit,abs_g_over_gcrit,lambda_transverse
SN,0.1,0.17834090261620295,0.8206424445437417,-0.21776425502468358,0.00960353747878489,0.06661277717872087,-0.00809125221836171,-0.05612315069412948,-0.04651961321534459,-5.13112043039635e-18,0.0021640744137052833,-0.0465196132153447,0.0,1.0408340855860843e-16,0.0,0.02926076248017958,0.03735201469854129,0.04400217728097514,0.8488674199013073,-0.16415741149822755
locked,0.1,0.17834090374932557,0.8206249525075288,-0.21776173348211103,0.009604381807106547,0.06661865339022874,-0.008114771813293342,-0.056120941978581286,-0.046516560171474736,1.5882166338189218e-06,0.002157437503651154,-0.046482392036741836,0.0,-3.4168134732899536e-05,0.0,0.029251940788467698,0.03736671260176104,0.043995801919903633,0.8493245030466509,-0.1641543585674812
locked,0.1,0.1783409039022297,0.820623809598955,-0.21776156874685723,0.009604436974518463,0.06661903732402479,-0.008116308502334912,-0.05612079765709348,-0.04651636068257502,1.6919949930915306e-06,0.0021570038311790446,-0.04647995800353294,0.0,-3.640267904207739e-05,0.0,0.029251364410844936,0.03736767291317985,0.04399538540280283,0.8493543713973069,-0.1641541590938464
locked,0.1,0.1783409040757668,0.8206225919990044,-0.2177613932484267,0.00960449574723405,0.06661944634721226,-0.008117945609956045,-0.05612064390300533,-0.04651614815577128,1.8025563136029072e-06,0.002156541813995252,-0.0464773646247308,0.0,-3.878353104046911e-05,0.0,0.029250750368628106,0.03736869597858415,0.043994941671045146,0.8493861921216731,-0.1641539465843675
locked,0.1,0.17834090427272112,0.8206212948485009,-0.21776120628695522,0.009604558359802888,0.06661988209182769,-0.008119689668091401,-0.05612048010254076,-0.04651592174273787,1.9203419854711394e-06,0.0021560496076346294,-0.0464746014963314,0.0,-4.1320246406469086e-05,0.0,0.029250096211868144,0.037369785879959545,0.04399446895488888,0.8494200922910977,-0.1641537201909967
locked,0.1,0.1783409044962525,0.8206199129473378,-0.2177610071135188,0.009604625063231054,0.06662034630438997,-0.008121547666849804,-0.05612030559884449,-0.04651568053561343,2.0458243822965175e-06,0.0021555252381620605,-0.04647165747955617,0.0,-4.402305605725326e-05,0.0,0.029249399318770082,0.037370946985619886,0.04399396536051879,0.8494562078997645,-0.16415347900618815
locked,0.1,0.17834090474994738,0.8206184407312842,-0.2177607949268021,0.009604696126100723,0.06662084085368533,-0.008123527085670101,-0.056120119689049404,-0.04651542356294868,2.179508971308289e-06,0.002154966593355288,-0.04646852065016356,0.0,-4.690291278511283e-05,0.0,0.029248656884007615,0.037372183969677716,0.04399342886161817,0.8494946844728186,-0.1641532220588506
locked,0.1,0.17834090503787592,0.8206168723231062,-0.21776056888048267,0.009604771832102673,0.06662136771358608,-0.008125635824535293,-0.05611992163072614,-0.046515149798623465,2.321929674446062e-06,0.0021543714420905963,-0.04646517840597845,0.0,-4.9971392645009605e-05,0.0,0.029247865944525393,0.03737350176906069,0.04399285731803098,0.8495356757321313,-0.16415294832327032
locked,0.1,0.17834090536465771,0.8206152014265924,-0.21776032806796863,0.009604852485151475,0.06662192899864254,-0.008127882346434134,-0.056119710628497126,-0.04651485814334565,2.473658497352748e-06,0.0021537373941061576,-0.046461617239470024,0.0,-5.324090387562319e-05,0.0,0.029247023326104203,0.03737490567253834,0.04399224843716991,0.849579346368656,-0.16415265670061624
locked,0.1,0.17834090573553563,0.8206134213456653,-0.21776007152517207,0.009604938408463078,0.06662252695765303,-0.008130275651607954,-0.05611948583644319,-0.04651454742798011,2.63530379874805e-06,0.002153061907234819,-0.04645782277664598,0.0,-5.6724651334133513e-05,0.0,0.029246125653022537,0.03737640130463049,0.04399159978102056,0.8496258715455016,-0.16415234602227669
locked,0.1,0.17834090615645998,0.8206115249419256,-0.21775979822440888,0.009605029946604185,0.06662316398791489,-0.008132825334583815,-0.05611924635273575,-0.04651421640613156,2.807514152161793e-06,0.0021523422712677914,-0.0464537796844863,0.0,-6.043672164525449e-05,0.0,0.029245169326665536,0.03737799466124935,0.04399090875071045,0.8496754380107163,-0.16415201504245047
locked,0.1,0.17834090663418406,0.8206095046137881,-0.21775950707141412,0.00960512746649929,0.06662384264222074,-0.008135541612164898,-0.05611899121699447,-0.04651386375049518,2.990980247527004e-06,0.0021515756000095214,-0.046449471624106065,0.0,-6.439212638911784e-05,0.0,0.02924415051502792,0.03737969212719282,0.04399017257895337,0.8497282446460948,-0.1641516624345069
locked,0.1,0.1783409071763725,0.8206073522730845,-0.21775919690199524,0.00960523135856013,0.06662456563670399,-0.008138435354816287,-0.056118719407323936,-0.046513488048763804,3.186437023565232e-06,0.0021507588223682325,-0.046444881198205466,0.0,-6.860685055833787e-05,0.0,0.029243065140943852,0.03738150049576014,0.043989388321577894,0.8497845030826123,-0.16415128678690405
locked,0.1,0.1783409077917241,0.8206050592702799,-0.21775886647128082,0.009605342040295338,0.06662533587594445,-0.008141518187143704,-0.056118429830860544,-0.046513087790565205,3.3946704688308105e-06,0.0021498886539375026,-0.04643998978851374,0.0,-7.309800205146377e-05,0.0,0.029241908844400373,0.03738342703154408,0.0439885528303348,0.8498444396598611,-0.1641508865901381
locked,0.1,0.17834090849011155,0.8206026164322905,-0.2177585144592068,0.00960545995448524,0.0666261564402457,-0.008144802436942267,-0.05611812132853582,-0.04651266137405058,3.61651419641513e-06,0.002148961611311436,-0.04643477763301067,0.0,-7.78837410399108e-05,0.0,0.02924067700165172,0.03738547943859399,0.04398766276675078,0.8499082944423403,-0.1641504602433459
locked,0.1,0.1783409092827398,0.8206000139462571,-0.21775813945379893,0.00960558557479183,0.06662703062465786,-0.008148301291378668,-0.056117792660387904,-0.04651220708559607,3.852860011844779e-06,0.002147973967925994,-0.04642922357402168,0.0,-8.298351157438877e-05,0.0,0.029239364666639595,0.03738766595801826,0.04398671455985155,0.8499763242636788,-0.16415000603402216
locked,0.1,0.1783409101823257,0.8205972413965996,-0.21775773995655878,0.009605719403970422,0.066627961926506,-0.008152028747039353,-0.05611744251022467,-0.046511723106254246,4.1046545598606175e-06,0.0021469217680734226,-0.046423305132822223,0.0,-8.84179734320159e-05,0.0,0.029237966589733322,0.037389995336772675,0.043985704419757084,0.8500488017642884,-0.16414952214448908
