case,A,beta,epsilon,spectral_class,spectral_abscissa,relative_L2_error_delta_r,relative_L2_error_full_state,max_abs_error_delta_r_over_epsilon,max_abs_nonlinear_delta_r_over_epsilon,time_of_max_abs_delta_r,delta_r_zero_crossings,final_physical_displacement,returned_to_local_neighborhood_by_tend,left_local_basin_by_tend
stable_node,0.17840322435994366,0.1,-0.05,stable_node,-0.010938973995079204,5.594188262375209,8.001621329262784,3.6800333581702525,3.6700357761879054,600.0,1,0.2843253285333299,0,1
stable_node,0.17840322435994366,0.1,-0.03,stable_node,-0.010938973995079204,0.7622889682238553,0.7663571417688014,0.7459836776928683,1.0260262855812496,4.75,1,3.509049672286493e-05,1,0
stable_node,0.17840322435994366,0.1,-0.01,stable_node,-0.010938973995079204,0.4196799164823321,0.41990045150177946,0.388600499872087,1.0434738964232082,9.0,0,3.4756173171798258e-06,1,0
stable_node,0.17840322435994366,0.1,-0.003,stable_node,-0.010938973995079204,0.17497595928461196,0.1744499957584074,0.15204679766828327,1.05916963531405,13.0,0,4.158004700135005e-06,1,0
stable_node,0.17840322435994366,0.1,-0.001,stable_node,-0.010938973995079204,0.06644935479614832,0.06616328846223213,0.05610685252995817,1.066460888054288,15.0,0,2.1478957757188504e-06,1,0
stable_node,0.17840322435994366,0.1,-0.0003,stable_node,-0.010938973995079204,0.02099870233625761,0.020897838471145427,0.01751883269834742,1.0695376708698876,16.0,0,7.649264003300951e-07,1,0
stable_node,0.17840322435994366,0.1,-0.0001,stable_node,-0.010938973995079204,0.007109582393605175,0.007074386175849901,0.005909710910117161,1.0704782317416672,16.25,0,2.684037961953033e-07,1,0
stable_node,0.17840322435994366,0.1,-3e-05,stable_node,-0.010938973995079204,0.00214472785219994,0.0021339986713362308,0.001780435825343929,1.070812394358504,16.25,0,8.200283031521856e-08,1,0
stable_node,0.17840322435994366,0.1,-1e-05,stable_node,-0.010938973995079204,0.0007160477139594588,0.0007124549556040931,0.0005941995864772176,1.07090813358246,16.5,0,2.7477789179530316e-08,1,0
stable_node,0.17840322435994366,0.1,-3e-06,stable_node,-0.010938973995079204,0.00021493525727879498,0.00021385573020166738,0.00017833709368975104,1.0709425438311844,16.5,0,8.258482974599717e-09,1,0
stable_node,0.17840322435994366,0.1,-1e-06,stable_node,-0.010938973995079204,7.164722251610968e-05,7.128730169230972e-05,5.944497531717996e-05,1.0709523752261418,16.5,0,2.754262193919736e-09,1,0
stable_node,0.17840322435994366,0.1,1e-06,stable_node,-0.010938973995079204,7.166569718723362e-05,7.130553745176951e-05,5.9456357906495505e-05,1.0709622058069357,16.5,0,2.755709401486548e-09,1,0
stable_node,0.17840322435994366,0.1,3e-06,stable_node,-0.010938973995079204,0.00021503662860153169,0.0002139555805261044,0.00017840091581322604,1.0709720367207964,16.5,0,8.271482761647207e-09,1,0
stable_node,0.17840322435994366,0.1,1e-05,stable_node,-0.010938973995079204,0.00071719104303572,0.0007135818065970339,0.0005949239503949544,1.0710064423880006,16.5,0,2.762235669226745e-08,1,0
stable_node,0.17840322435994366,0.1,3e-05,stable_node,-0.010938973995079204,0.002155016843713101,0.0021441395499182648,0.0017869508831119818,1.071104729429469,16.5,0,8.330412679227994e-08,1,0
stable_node,0.17840322435994366,0.1,0.0001,stable_node,-0.010938973995079204,0.007223914210501319,0.007187072171218329,0.005982114994727117,1.0714485610907598,16.5,0,2.8286715833213475e-07,1,0
stable_node,0.17840322435994366,0.1,0.0003,stable_node,-0.010938973995079204,0.022028544790500613,0.021912853976924836,0.01817087100673176,1.0724498451575304,16.75,0,8.954375643605758e-07,1,0
stable_node,0.17840322435994366,0.1,0.001,stable_node,-0.010938973995079204,0.0780016237500683,0.077548949474359,0.0634029664351366,1.0762356664303363,18.0,0,3.6422536967118935e-06,1,0
stable_node,0.17840322435994366,0.1,0.003,stable_node,-0.010938973995079204,0.28880717678267254,0.28661354263459105,0.22222682028997393,1.0902693241124917,22.5,0,2.2150791705940386e-05,1,0
stable_node,0.17840322435994366,0.1,0.01,stable_node,-0.010938973995079204,33.41533466983162,49.15374322441757,18.347543780768866,18.350178892092128,595.0,0,0.28432535838925144,0,1
stable_node,0.17840322435994366,0.1,0.03,stable_node,-0.010938973995079204,13.523354951927548,20.42611407786161,6.114091186040782,6.116726297364043,413.5,0,0.284325358392774,0,1
stable_node,0.17840322435994366,0.1,0.05,stable_node,-0.010938973995079204,8.17279326691041,12.591138960567964,3.6674006670951655,3.6700357784184257,378.5,0,0.284325358392774,0,1
