case,A,epsilon,time,nonlinear_delta_r_over_epsilon,linear_delta_r_over_epsilon,nonlinear_delta_psi_over_epsilon,linear_delta_psi_over_epsilon
stable_node,0.17840322435994366,-0.01,0.0,1.0000000000000009,1.0,-0.0,0.0
stable_node,0.17840322435994366,-0.01,0.25,1.0025284582227734,1.0024250439916504,-0.005061201714287589,-0.0033861669758748357
stable_node,0.17840322435994366,-0.01,0.5,1.0049738163015576,1.004798735552076,-0.010071070603545618,-0.006733710733651272
stable_node,0.17840322435994366,-0.01,0.75,1.0073367467537397,1.0071216029621446,-0.015029761245885509,-0.01004299159166719
stable_node,0.17840322435994366,-0.01,1.0,1.0096179223378132,1.0093941696936992,-0.019937428302368998,-0.01331436667346533
stable_node,0.17840322435994366,-0.01,1.25,1.0118180160246903,1.0116169544518938,-0.02479422661866848,-0.01654818993569704
stable_node,0.17840322435994366,-0.01,1.5,1.01393770096736,1.013790471217161,-0.029600311323249584,-0.01974481219578347
stable_node,0.17840322435994366,-0.01,1.75,1.0159776504689688,1.0159152292868137,-0.03435583792192887,-0.02290458115933621
stable_node,0.17840322435994366,-0.01,2.0,1.0179385379494699,1.0179917333162853,-0.03906096238898149,-0.02602784144733966
stable_node,0.17840322435994366,-0.01,2.25,1.0198210369108174,1.0200204833600084,-0.04371584125481831,-0.029114934623096934
stable_node,0.17840322435994366,-0.01,2.5,1.0216258209007956,1.0220019749119391,-0.04832063169059875,-0.03216619921894162
stable_node,0.17840322435994366,-0.01,2.75,1.0233535634755486,1.023936698945727,-0.05287549158902727,-0.03518197076271726
stable_node,0.17840322435994366,-0.01,3.0,1.0250049381608006,1.0258251419545357,-0.05738057964223553,-0.038162581804026506
stable_node,0.17840322435994366,-0.01,3.25,1.0265806184119541,1.0276677859905152,-0.06183605541651149,-0.0411083619402523
stable_node,0.17840322435994366,-0.01,3.5,1.028081277572901,1.0294651087039324,-0.06624207942345639,-0.04401963784235257
stable_node,0.17840322435994366,-0.01,3.75,1.0295075888338778,1.0312175833819568,-0.07059881318851324,-0.04689673328043074
stable_node,0.17840322435994366,-0.01,4.0,1.0308602251881682,1.0329256789871122,-0.07490641931617859,-0.049739969149083955
stable_node,0.17840322435994366,-0.01,4.25,1.0321398593878595,1.0345898601953905,-0.07916506155211667,-0.05254966349253081
stable_node,0.17840322435994366,-0.01,4.5,1.0333471638986569,1.036210587434034,-0.08337490484245924,-0.05532613152952078
stable_node,0.17840322435994366,-0.01,4.75,1.0344828108537651,1.0377883169189883,-0.08753611539025485,-0.058069685678026756
stable_node,0.17840322435994366,-0.01,5.0,1.035547472006948,1.0393235006920292,-0.09164886070879841,-0.06078063557972322
stable_node,0.17840322435994366,-0.01,5.25,1.036541818684833,1.040816586657564,-0.09571330967233227,-0.06345928812425121
stable_node,0.17840322435994366,-0.01,5.5,1.0374665217383616,1.0422680186191153,-0.09972963256378309,-0.06610594747327268
stable_node,0.17840322435994366,-0.01,5.75,1.0383222514936952,1.0436782363154828,-0.1036980011200117,-0.06872091508431544
stable_node,0.17840322435994366,-0.01,6.0,1.039109677702288,1.0450476754565932,-0.10761858857421813,-0.07130448973441068
stable_node,0.17840322435994366,-0.01,6.25,1.0398294694905275,1.0463767677590345,-0.11149156969562646,-0.07385696754352519
stable_node,0.17840322435994366,-0.01,6.5,1.04048229530872,1.0476659409812832,-0.11531712082701873,-0.07637864199778972
stable_node,0.17840322435994366,-0.01,6.75,1.041068822879565,1.0489156189586222,-0.11909541991897699,-0.07886980397252524
stable_node,0.17840322435994366,-0.01,7.0,1.0415897191461965,1.0501262216377554,-0.12282664656248221,-0.08133074175506907
stable_node,0.17840322435994366,-0.01,7.25,1.0420456502197917,1.05129816511112,-0.12651098201832134,-0.08376174106740242
stable_node,0.17840322435994366,-0.01,7.5,1.0424372813267357,1.0524318616508992,-0.13014860924465133,-0.08616308508858132
stable_node,0.17840322435994366,-0.01,7.75,1.0427652767555529,1.0535277197427393,-0.1337397129218959,-0.08853505447697231
stable_node,0.17840322435994366,-0.01,8.0,1.0430302998034713,1.0545861441191717,-0.13728447947541078,-0.0908779273922947
stable_node,0.17840322435994366,-0.01,8.25,1.043233012722733,1.0556075357927432,-0.14078309709598946,-0.09319197951747143
stable_node,0.17840322435994366,-0.01,8.5,1.0433740766666921,1.0565922920888597,-0.14423575575800707,-0.0954774840802895
stable_node,0.17840322435994366,-0.01,8.75,1.0434541516357698,1.057540806678339,-0.14764264723549636,-0.09773471187487245
stable_node,0.17840322435994366,-0.01,9.0,1.0434738964232082,1.0584534696096846,-0.15100396511606717,-0.09996393128296557
stable_node,0.17840322435994366,-0.01,9.25,1.0434339685607474,1.0593306673410745,-0.15431990481286073,-0.10216540829503652
stable_node,0.17840322435994366,-0.01,9.5,1.0433350242642914,1.060172782772072,-0.15759066357426688,-0.10433940653119207
stable_node,0.17840322435994366,-0.01,9.75,1.043177718379451,1.0609801952750604,-0.16081644049181498,-0.10648618726191304
stable_node,0.17840322435994366,-0.01,10.0,1.042962704327155,1.061753280726403,-0.16399743650613308,-0.10860600942860875
stable_node,0.17840322435994366,-0.01,10.25,1.0426906340493036,1.0624924115373306,-0.1671338544110279,-0.11069912966399309
stable_node,0.17840322435994366,-0.01,10.5,1.0423621579544795,1.0631979566845613,-0.1702258988555111,-0.11276580231228284
stable_node,0.17840322435994366,-0.01,10.75,1.041977924863735,1.0638702817406505,-0.17327377634434316,-0.11480627944922062
stable_node,0.17840322435994366,-0.01,11.0,1.0415385819566025,1.064509748904079,-0.17627769523666792,-0.11682081090192355
stable_node,0.17840322435994366,-0.01,11.25,1.0410447747172147,1.0651167170290763,-0.17923786574283174,-0.11880964426855944
stable_node,0.17840322435994366,-0.01,11.5,1.040497146880659,1.0656915416551849,-0.18215449991981492,-0.12077302493785158
stable_node,0.17840322435994366,-0.01,11.75,1.039896340379487,1.0662345750365667,-0.1850278116647397,-0.12271119610841393
stable_node,0.17840322435994366,-0.01,12.0,1.039242995290679,1.066746166171052,-0.18785801670694047,-0.12462439880791822
stable_node,0.17840322435994366,-0.01,12.25,1.038537749782631,1.067226660828937,-0.19064533259869065,-0.12651287191209432
stable_node,0.17840322435994366,-0.01,12.5,1.0377812400627073,1.0676764015815292,-0.1933899787039839,-0.12837685216356506
stable_node,0.17840322435994366,-0.01,12.75,1.036974100324961,1.0680957278294436,-0.19609217618626607,-0.13021657419051758
stable_node,0.17840322435994366,-0.01,13.0,1.0361169626983746,1.068484975830652,-0.19875214799473517,-0.13203227052521202
stable_node,0.17840322435994366,-0.01,13.25,1.035210457195368,1.068844478728287,-0.20137011884889533,-0.13382417162232912
stable_node,0.17840322435994366,-0.01,13.5,1.034255211660784,1.0691745665782044,-0.20394631522241413,-0.13559250587715846
stable_node,0.17840322435994366,-0.01,13.75,1.0332518517213618,1.0694755663763043,-0.2064809653251426,-0.1373374996436282
stable_node,0.17840322435994366,-0.01,14.0,1.0322010007355997,1.069747802085614,-0.20897429908408593,-0.13905937725217826
stable_node,0.17840322435994366,-0.01,14.25,1.0311032797441722,1.0699915946631333,-0.2114265481233557,-0.1407583610274775
stable_node,0.17840322435994366,-0.01,14.5,1.0299593074208135,1.0702072620864478,-0.2138379457426759,-0.1424346713059874
stable_node,0.17840322435994366,-0.01,14.75,1.0287697000237905,1.070395119380108,-0.21620872689506188,-0.1440885264533724
stable_node,0.17840322435994366,-0.01,15.0,1.0275350713478515,1.0705554786417784,-0.21853912816313104,-0.14572014288175913
stable_node,0.17840322435994366,-0.01,15.25,1.0262560326768533,1.0706886490681582,-0.22082938773453076,-0.14732973506684502
stable_node,0.17840322435994366,-0.01,15.5,1.0249331927368877,1.0707949369806775,-0.22307974537655595,-0.1489175155648586
stable_node,0.17840322435994366,-0.01,15.75,1.0235671576500183,1.0708746458509661,-0.22529044240939267,-0.15048369502937198
stable_node,0.17840322435994366,-0.01,16.0,1.0221585308887615,1.070928076326102,-0.2274617216787428,-0.15202848222796658
stable_node,0.17840322435994366,-0.01,16.25,1.0207079132310448,1.070955526253639,-0.2295938275274495,-0.15355208405875476
stable_node,0.17840322435994366,-0.01,16.5,1.0192159027159864,1.070957290706416,-0.23168700576636225,-0.15505470556675707
stable_node,0.17840322435994366,-0.01,16.75,1.0176830946001858,1.0709336620071483,-0.23374150364429136,-0.15653654996013697
stable_node,0.17840322435994366,-0.01,17.0,1.0161100813148805,1.0708849297528062,-0.2357575698172798,-0.1579978186262946
stable_node,0.17840322435994366,-0.01,17.25,1.014497452423646,1.070811380838779,-0.2377354543171395,-0.15943871114782027
stable_node,0.17840322435994366,-0.01,17.5,1.0128457945809188,1.0707132994828286,-0.23967540851912716,-0.16085942531830907
stable_node,0.17840322435994366,-0.01,17.75,1.0111556914911946,1.0705909672488343,-0.24157768510912336,-0.1622601571580383
stable_node,0.17840322435994366,-0.01,18.0,1.0094277238689497,1.0704446630703297,-0.2434425380501315,-0.16364110092950762
stable_node,0.17840322435994366,-0.01,18.25,1.0076624693994396,1.0702746632738334,-0.24527022254830222,-0.165002449152845
stable_node,0.17840322435994366,-0.01,18.5,1.0058605027000511,1.0700812416019776,-0.2470609950179975,-0.16634439262107759
stable_node,0.17840322435994366,-0.01,18.75,1.0040223952826222,1.0698646692364326,-0.24881511304677972,-0.16766712041527052
stable_node,0.17840322435994366,-0.01,19.0,1.0021487155164155,1.0696252148206333,-0.2505328353597597,-0.16897081991953336
stable_node,0.17840322435994366,-0.01,19.25,1.0002400285919255,1.069363144482305,-0.25221442178315623,-0.17025567683589624
stable_node,0.17840322435994366,-0.01,19.5,0.9982968964855288,1.0690787218557933,-0.2538601332080975,-0.1715218751990568
stable_node,0.17840322435994366,-0.01,19.75,0.9963198779248228,1.0687722081042,-0.255470231553262,-0.17276959739099768
stable_node,0.17840322435994366,-0.01,20.0,0.9943095283549086,1.0684438619413228,-0.25704497972773577,-0.1739990241554782
stable_node,0.17840322435994366,-0.01,20.25,0.9922663999053616,1.068093939653407,-0.25858464159315975,-0.17521033461239902
stable_node,0.17840322435994366,-0.01,20.5,0.9901910413581461,1.0677226951207037,-0.26008948192567105,-0.176403706272042
stable_node,0.17840322435994366,-0.01,20.75,0.9880839981162848,1.0673303798388418,-0.26155976637771416,-0.17757931504918592
stable_node,0.17840322435994366,-0.01,21.0,0.9859458121733611,1.0669172429400118,-0.262995761439333,-0.1787373352770999
stable_node,0.17840322435994366,-0.01,21.25,0.9837770220838649,1.0664835312139662,-0.26439773439942693,-0.1798779397214141
