sigma_observation_over_pulse,true_case,selected_case,count,fraction,n_trials_per_true_case,sampling_interval,observation_window,rng_seed
0.001,stable_node,stable_node,1000,1.0,1000,2.0,600.0,20260716
0.001,stable_node,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.001,stable_node,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.001,exceptional_point,stable_node,0,0.0,1000,2.0,600.0,20260716
0.001,exceptional_point,exceptional_point,1000,1.0,1000,2.0,600.0,20260716
0.001,exceptional_point,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.001,stable_focus,stable_node,0,0.0,1000,2.0,600.0,20260716
0.001,stable_focus,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.001,stable_focus,stable_focus,1000,1.0,1000,2.0,600.0,20260716
0.003,stable_node,stable_node,1000,1.0,1000,2.0,600.0,20260716
0.003,stable_node,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.003,stable_node,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.003,exceptional_point,stable_node,0,0.0,1000,2.0,600.0,20260716
0.003,exceptional_point,exceptional_point,1000,1.0,1000,2.0,600.0,20260716
0.003,exceptional_point,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.003,stable_focus,stable_node,0,0.0,1000,2.0,600.0,20260716
0.003,stable_focus,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.003,stable_focus,stable_focus,1000,1.0,1000,2.0,600.0,20260716
0.01,stable_node,stable_node,1000,1.0,1000,2.0,600.0,20260716
0.01,stable_node,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.01,stable_node,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.01,exceptional_point,stable_node,0,0.0,1000,2.0,600.0,20260716
0.01,exceptional_point,exceptional_point,1000,1.0,1000,2.0,600.0,20260716
0.01,exceptional_point,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.01,stable_focus,stable_node,0,0.0,1000,2.0,600.0,20260716
0.01,stable_focus,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.01,stable_focus,stable_focus,1000,1.0,1000,2.0,600.0,20260716
0.03,stable_node,stable_node,1000,1.0,1000,2.0,600.0,20260716
0.03,stable_node,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.03,stable_node,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.03,exceptional_point,stable_node,0,0.0,1000,2.0,600.0,20260716
0.03,exceptional_point,exceptional_point,1000,1.0,1000,2.0,600.0,20260716
0.03,exceptional_point,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.03,stable_focus,stable_node,0,0.0,1000,2.0,600.0,20260716
0.03,stable_focus,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.03,stable_focus,stable_focus,1000,1.0,1000,2.0,600.0,20260716
0.1,stable_node,stable_node,1000,1.0,1000,2.0,600.0,20260716
0.1,stable_node,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.1,stable_node,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.1,exceptional_point,stable_node,0,0.0,1000,2.0,600.0,20260716
0.1,exceptional_point,exceptional_point,1000,1.0,1000,2.0,600.0,20260716
0.1,exceptional_point,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.1,stable_focus,stable_node,0,0.0,1000,2.0,600.0,20260716
0.1,stable_focus,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.1,stable_focus,stable_focus,1000,1.0,1000,2.0,600.0,20260716
0.3,stable_node,stable_node,998,0.998,1000,2.0,600.0,20260716
0.3,stable_node,exceptional_point,2,0.002,1000,2.0,600.0,20260716
0.3,stable_node,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.3,exceptional_point,stable_node,2,0.002,1000,2.0,600.0,20260716
0.3,exceptional_point,exceptional_point,998,0.998,1000,2.0,600.0,20260716
0.3,exceptional_point,stable_focus,0,0.0,1000,2.0,600.0,20260716
0.3,stable_focus,stable_node,0,0.0,1000,2.0,600.0,20260716
0.3,stable_focus,exceptional_point,0,0.0,1000,2.0,600.0,20260716
0.3,stable_focus,stable_focus,1000,1.0,1000,2.0,600.0,20260716
1.0,stable_node,stable_node,799,0.799,1000,2.0,600.0,20260716
1.0,stable_node,exceptional_point,201,0.201,1000,2.0,600.0,20260716
1.0,stable_node,stable_focus,0,0.0,1000,2.0,600.0,20260716
1.0,exceptional_point,stable_node,231,0.231,1000,2.0,600.0,20260716
1.0,exceptional_point,exceptional_point,765,0.765,1000,2.0,600.0,20260716
1.0,exceptional_point,stable_focus,4,0.004,1000,2.0,600.0,20260716
1.0,stable_focus,stable_node,0,0.0,1000,2.0,600.0,20260716
1.0,stable_focus,exceptional_point,7,0.007,1000,2.0,600.0,20260716
1.0,stable_focus,stable_focus,993,0.993,1000,2.0,600.0,20260716
