nominal_case,offset_kind,delta_A,delta_beta,A,beta,equilibrium_exists,r_star,psi_star,discriminant,spectral_class,spectral_abscissa,response_relative_L2_change,response_max_abs_change,delta_r_zero_crossings
stable_node,A,-1e-05,0.0,0.17839322435994365,0.1,1,0.8168484691760625,-0.2172300249148399,0.0007079418593317326,stable_node,-0.009622920361204601,0.07480253536830414,0.054799552299589216,0
stable_node,A,-5e-06,0.0,0.17839822435994365,0.1,1,0.8166695898859684,-0.21720545098598892,0.0006384669791685744,stable_node,-0.010276735830613414,0.03532513656035793,0.02623069060692096,0
stable_node,A,0.0,0.0,0.17840322435994366,0.1,1,0.8164982110790759,-0.21718195801678464,0.0005718361244411042,stable_node,-0.010938973995079204,0.0,0.0,0
stable_node,A,5e-06,0.0,0.17840822435994366,0.1,1,0.8163334460027813,-0.21715941818031992,0.0005077129253918983,stable_node,-0.011614689565575487,0.031890173818707644,0.024245556763946574,0
stable_node,A,1e-05,0.0,0.17841322435994367,0.1,1,0.8161745699708828,-0.21713772701292894,0.0004458224932176588,stable_node,-0.01230960295632566,0.06089673498421898,0.046784299763458215,0
stable_node,beta,0.0,-0.0005,0.17840322435994366,0.0995,1,0.8058104846356254,-0.21456230454155248,-0.004016382916786047,stable_focus,-0.021866575523956877,0.7511323880762515,0.8079317748915793,5
stable_node,beta,0.0,-0.0001,0.17840322435994366,0.0999,1,0.8129823810996772,-0.21645825065635757,-0.0008700459588546123,stable_focus,-0.02256889943273871,0.43979519686280505,0.3945619443870285,2
stable_node,beta,0.0,0.0001,0.17840322435994366,0.10010000000000001,0,nan,nan,nan,no_locked_equilibrium_found,nan,nan,nan,-1
stable_node,beta,0.0,0.0005,0.17840322435994366,0.1005,0,nan,nan,nan,no_locked_equilibrium_found,nan,nan,nan,-1
exceptional_point,A,-1e-05,0.0,0.17844421487754966,0.1,1,0.8152909750312951,-0.21701785635122142,0.00010055837010273594,stable_node,-0.017774505874822898,0.03892111797420289,0.029618065978564978,0
exceptional_point,A,-5e-06,0.0,0.17844921487754967,0.1,1,0.8151612893854782,-0.21700037132363326,4.973297393000417e-05,stable_node,-0.019250837886326602,0.018908623080079418,0.014486968112237264,0
exceptional_point,A,0.0,0.0,0.17845421487754967,0.1,1,0.8150344863116554,-0.2169833015987259,-6.027296717281416e-15,exceptional_point,-0.022765642618468876,3.9598766699475024e-11,1.9539925233402755e-11,0
exceptional_point,A,5e-06,0.0,0.17845921487754968,0.1,1,0.8149103769659577,-0.2169666199572284,-4.871217296689668e-05,stable_focus,-0.022754602000447714,0.017909919093901074,0.013895749993997342,0
exceptional_point,A,1e-05,0.0,0.17846421487754968,0.1,1,0.8147887922641543,-0.21695030202820628,-9.646767104678176e-05,stable_focus,-0.02274378174607928,0.03491230691541355,0.02724691241484667,0
exceptional_point,beta,0.0,-0.0005,0.17845421487754967,0.0995,1,0.8053262305105141,-0.21450501806351258,-0.004216792823249682,stable_focus,-0.021822398504914936,0.6651809847048059,0.6786302193424465,5
exceptional_point,beta,0.0,-0.0001,0.17845421487754967,0.0999,1,0.8120978656646453,-0.2163431807178872,-0.0012221430473808347,stable_focus,-0.022489644882368508,0.32525836986320106,0.2826419738742869,2
exceptional_point,beta,0.0,0.0001,0.17845421487754967,0.10010000000000001,0,nan,nan,nan,no_locked_equilibrium_found,nan,nan,nan,-1
exceptional_point,beta,0.0,0.0005,0.17845421487754967,0.1005,0,nan,nan,nan,no_locked_equilibrium_found,nan,nan,nan,-1
stable_focus,A,-1e-05,0.0,0.17980396201371038,0.1,1,0.7997685992370971,-0.2151043896590276,-0.006253711145149097,stable_focus,-0.021377659437466442,0.003652264421779232,0.0028375107107292408,6
stable_focus,A,-5e-06,0.0,0.17980896201371038,0.1,1,0.7997312369709229,-0.21510018326177374,-0.006269657810668203,stable_focus,-0.0213741947234733,0.001823201291807575,0.0014166757928979479,6
stable_focus,A,0.0,0.0,0.1798139620137104,0.1,1,0.7996939323629879,-0.2150959851048026,-0.00628558295928355,stable_focus,-0.02137073505539537,2.064004804726153e-11,9.658940314238862e-12,6
stable_focus,A,5e-06,0.0,0.1798189620137104,0.1,1,0.7996566851197521,-0.215091795145923,-0.006301486701808052,stable_focus,-0.021367280407594946,0.0018173754689151716,0.001412537081746379,6
stable_focus,A,1e-05,0.0,0.1798239620137104,0.1,1,0.7996194949501843,-0.2150876133433048,-0.006317369148103003,stable_focus,-0.02136383075465344,0.0036289607671462646,0.0028209556949265746,6
stable_focus,beta,0.0,-0.0005,0.1798139620137104,0.0995,1,0.7952683389226886,-0.2133833558439105,-0.008497263267513842,stable_focus,-0.020893085662513362,0.22482738207756287,0.17815429491940815,8
stable_focus,beta,0.0,-0.0001,0.1798139620137104,0.0999,1,0.7987235401055284,-0.21474062305493946,-0.00676110395869553,stable_focus,-0.021267508425720325,0.05313301000956826,0.04145354720219707,7
stable_focus,beta,0.0,0.0001,0.1798139620137104,0.10010000000000001,1,0.8007204000968923,-0.21545974799364337,-0.005788306831537954,stable_focus,-0.02147900324169918,0.05880950582027236,0.045492728321883114,6
stable_focus,beta,0.0,0.0005,0.1798139620137104,0.1005,1,0.805659369935951,-0.21703888273693042,-0.003477132318019803,stable_focus,-0.021986614594015658,0.3877245507583013,0.2924371499694045,4
