M,eta,Re_lambda,abs_Im_lambda,g,s,D,cond_eigenvectors,max_Re_full
4.000000000000000000e+00,0.000000000000000000e+00,-4.070653899543118237e-02,0.000000000000000000e+00,-5.278194059113933656e-18,-5.278194059113933656e-18,9.437056727497455680e-33,1.114553761024493550e+00,-4.070653899543118237e-02
4.000000000000000000e+00,5.000000000000000104e-03,-4.070610857150394613e-02,2.897292386705576186e-04,-2.897292386705575644e-04,-1.132178118617988005e-16,-3.357721269624836747e-07,1.000000000000390799e+00,-4.070610857150394613e-02
4.000000000000000000e+00,1.000000000000000021e-02,-4.070481727449477144e-02,5.794575882024661367e-04,5.794575882024661367e-04,4.163336342344337027e-17,-1.343084386101675302e-06,1.000000000000071942e+00,-4.070481727449477144e-02
4.000000000000000000e+00,1.499999999999999944e-02,-4.070266515318637923e-02,8.691844896378973437e-04,8.691844896378973437e-04,3.729655473350135253e-17,-3.021926708108368262e-06,1.000000000000042633e+00,-4.070266515318637923e-02
4.000000000000000000e+00,2.000000000000000042e-02,-4.069965220501797071e-02,1.158908871587076327e-03,1.158908871587076110e-03,4.423544863740858091e-17,-5.372279090572919919e-06,1.000000000000037970e+00,-4.069965220501797071e-02
4.000000000000000000e+00,2.500000000000000139e-02,-4.069577856994258114e-02,1.448630147223182877e-03,1.448630147223182660e-03,4.683753385137379155e-17,-8.394117213775438647e-06,1.000000000000032419e+00,-4.069577856994258114e-02
4.000000000000000000e+00,2.999999999999999889e-02,-4.069104424627188743e-02,1.738347336613308087e-03,1.738347336613308303e-03,8.250778532614688743e-17,-1.208740585084232972e-05,1.000000000000047518e+00,-4.069104424627188743e-02
4.000000000000000000e+00,3.500000000000000333e-02,-4.068544937434884212e-02,2.028059799964056827e-03,2.028059799964057261e-03,1.561251128379126385e-17,-1.645210620892100949e-05,1.000000000000007994e+00,-4.068544937434884212e-02
4.000000000000000000e+00,4.000000000000000083e-02,-4.067899405511675448e-02,2.317766693027235175e-03,2.317766693027235175e-03,5.117434254131580929e-17,-2.148816977322562404e-05,1.000000000000022204e+00,-4.067899405511675448e-02
4.000000000000000000e+00,4.499999999999999833e-02,-4.067167842906599384e-02,2.607467167547647229e-03,2.607467167547647229e-03,-4.510281037539698445e-17,-2.719554011935580240e-05,1.000000000000017319e+00,-4.067167842906599384e-02
4.000000000000000000e+00,5.000000000000000278e-02,-4.066350260885010642e-02,2.897160441374949363e-03,2.897160441374948929e-03,-8.586881206085195117e-17,-3.357415449227155624e-05,1.000000000000029976e+00,-4.066350260885010642e-02
4.000000000000000000e+00,5.500000000000000028e-02,-4.065446680364962623e-02,3.186845789533086261e-03,3.186845789533085827e-03,-7.372574772901430151e-17,-4.062394434505902654e-05,1.000000000000022871e+00,-4.065446680364962623e-02
4.000000000000000000e+00,5.999999999999999778e-02,-4.064457114960814965e-02,3.476522390156329672e-03,3.476522390156329238e-03,-4.358492733391727825e-17,-4.834483171703311198e-05,1.000000000000012657e+00,-4.064457114960814965e-02
4.000000000000000000e+00,6.500000000000000222e-02,-4.063381587700942710e-02,3.766189312121179245e-03,3.766189312121179245e-03,-6.245004513516505540e-17,-5.673672773894320392e-05,1.000000000000016431e+00,-4.063381587700942710e-02
4.000000000000000000e+00,7.000000000000000666e-02,-4.062220119230702808e-02,4.055845975790127282e-03,4.055845975790128149e-03,9.671083378570699551e-17,-6.579954631733189307e-05,1.000000000000023981e+00,-4.062220119230702808e-02
4.000000000000000000e+00,7.499999999999999722e-02,-4.060972732696438436e-02,4.345491506656083344e-03,4.345491506656082477e-03,6.418476861114186249e-17,-7.553318573768060353e-05,1.000000000000014655e+00,-4.060972732696438436e-02
4.000000000000000000e+00,8.000000000000000167e-02,-4.059639451735867072e-02,4.635125015767537805e-03,4.635125015767537805e-03,-4.423544863740858091e-17,-8.593753564717606969e-05,1.000000000000009992e+00,-4.059639451735867072e-02
4.000000000000000000e+00,8.500000000000000611e-02,-4.058220305553716933e-02,4.924745847881367884e-03,4.924745847881367884e-03,-1.301042606982605321e-17,-9.701248666489909313e-05,1.000000000000002665e+00,-4.058220305553716933e-02
4.000000000000000000e+00,8.999999999999999667e-02,-4.056715322371636651e-02,5.214353184608808839e-03,5.214353184608808839e-03,4.466912950640278268e-17,-1.087579165353600878e-04,1.000000000000008882e+00,-4.056715322371636651e-02
4.000000000000000000e+00,9.500000000000000111e-02,-4.055124529953340468e-02,5.503946225875400861e-03,5.503946225875400861e-03,7.979727989493312634e-17,-1.211736962293122804e-04,1.000000000000014655e+00,-4.055124529953340468e-02
4.000000000000000000e+00,1.000000000000000056e-01,-4.053447959906564951e-02,5.793524044099739034e-03,5.793524044099739034e-03,1.179611963664228824e-16,-1.342596833982471886e-04,1.000000000000020428e+00,-4.053447959906564951e-02
4.000000000000000000e+00,1.049999999999999961e-01,-4.051685649610397427e-02,6.083086161811165730e-03,6.083086161811165730e-03,1.014813233446432150e-16,-1.480157490080739999e-04,1.000000000000017097e+00,-4.051685649610397427e-02
4.000000000000000000e+00,1.100000000000000006e-01,-4.049837629141654627e-02,6.372631582162419095e-03,6.372631582162419095e-03,-1.344410693882025498e-17,-1.624417331278956160e-04,1.000000000000002220e+00,-4.049837629141654627e-02
4.000000000000000000e+00,1.150000000000000050e-01,-4.047903940179992804e-02,6.662159585132083374e-03,6.662159585132083374e-03,-4.943961906533900219e-17,-1.775374813510691835e-04,1.000000000000007550e+00,-4.047903940179992804e-02
4.000000000000000000e+00,1.199999999999999956e-01,-4.045884617549297402e-02,6.951669288346681332e-03,6.951669288346680464e-03,2.905661822261151883e-17,-1.933028235781697598e-04,1.000000000000003997e+00,-4.045884617549297402e-02
4.000000000000000000e+00,1.250000000000000000e-01,-4.043779702793538072e-02,7.241160035955969930e-03,7.241160035955970797e-03,4.380176776841437913e-17,-2.097375946653034780e-04,1.000000000000006217e+00,-4.043779702793538072e-02
4.000000000000000000e+00,1.300000000000000044e-01,-4.041589237825951586e-02,7.530631069664881806e-03,7.530631069664881806e-03,-6.418476861114186249e-17,-2.268416172296081686e-04,1.000000000000008660e+00,-4.041589237825951586e-02
4.000000000000000000e+00,1.350000000000000089e-01,-4.039313265818809950e-02,7.820081465385469305e-03,7.820081465385469305e-03,-6.331740687315345895e-17,-2.446146965010614557e-04,1.000000000000008216e+00,-4.039313265818809950e-02
4.000000000000000000e+00,1.400000000000000133e-01,-4.036951831300352594e-02,8.109510590261548302e-03,8.109510590261548302e-03,4.857225732735059864e-17,-2.630566480542568066e-04,1.000000000000006217e+00,-4.036951831300352594e-02
4.000000000000000000e+00,1.449999999999999900e-01,-4.034504984323783461e-02,8.398917677337551166e-03,8.398917677337551166e-03,-8.326672684688674053e-17,-2.821672726027728176e-04,1.000000000000009992e+00,-4.034504984323783461e-02
4.000000000000000000e+00,1.499999999999999944e-01,-4.031972771253784782e-02,8.688301926141043033e-03,8.688301926141041298e-03,5.811323644522303766e-17,-3.019463614391445496e-04,1.000000000000006883e+00,-4.031972771253784782e-02
4.000000000000000000e+00,1.549999999999999989e-01,-4.029355239506485914e-02,8.977662397003927097e-03,8.977662397003927097e-03,-1.040834085586084257e-16,-3.223936884583131733e-04,1.000000000000011768e+00,-4.029355239506485914e-02
4.000000000000000000e+00,1.600000000000000033e-01,-4.026652445142327175e-02,9.266998634410630181e-03,9.266998634410630181e-03,6.245004513516505540e-17,-3.435090547606739486e-04,1.000000000000006661e+00,-4.026652445142327175e-02
4.000000000000000000e+00,1.650000000000000078e-01,-4.023864439761509759e-02,9.556309683696129903e-03,9.556309683696129903e-03,3.469446951953614189e-17,-3.652922190828177223e-04,1.000000000000003553e+00,-4.023864439761509759e-02
4.000000000000000000e+00,1.700000000000000122e-01,-4.020991280000325852e-02,9.845594833122452150e-03,9.845594833122452150e-03,-7.112366251504909087e-17,-3.877429504720301305e-04,1.000000000000007327e+00,-4.020991280000325852e-02
4.000000000000000000e+00,1.750000000000000167e-01,-4.018033019037317577e-02,1.013485331785492390e-02,1.013485331785492563e-02,2.862293735361731706e-17,-4.108610070977399258e-04,1.000000000000002887e+00,-4.018033019037317577e-02
4.000000000000000000e+00,1.799999999999999933e-01,-4.014989718761414333e-02,1.042408441999854996e-02,1.042408441999854996e-02,-9.540979117872439019e-17,-4.346461439810260074e-04,1.000000000000008882e+00,-4.014989718761414333e-02
4.000000000000000000e+00,1.849999999999999978e-01,-4.011861437716729428e-02,1.071328735829659914e-02,1.071328735829659914e-02,-7.112366251504909087e-17,-4.590981040857508837e-04,1.000000000000006439e+00,-4.011861437716729428e-02
4.000000000000000000e+00,1.900000000000000022e-01,-4.008648236295113410e-02,1.100246126692044392e-02,1.100246126692044392e-02,3.989863994746656317e-17,-4.842166157203384711e-04,1.000000000000003553e+00,-4.008648236295113410e-02
4.000000000000000000e+00,1.950000000000000067e-01,-4.005350181897242290e-02,1.129160567944911646e-02,1.129160567944911646e-02,-6.591949208711866959e-17,-5.100014352806701758e-04,1.000000000000005773e+00,-4.005350181897242290e-02
4.000000000000000000e+00,2.000000000000000111e-01,-4.001967335063606745e-02,1.158071964820590709e-02,1.158071964820590882e-02,-7.372574772901430151e-17,-5.364522702813694218e-04,1.000000000000006217e+00,-4.001967335063606745e-02
4.000000000000000000e+00,2.050000000000000155e-01,-3.998499763430129333e-02,1.186980244313204369e-02,1.186980244313204369e-02,4.943961906533900219e-17,-5.635688401559336156e-04,1.000000000000003997e+00,-3.998499763430129333e-02
4.000000000000000000e+00,2.099999999999999922e-01,-3.994947533853208943e-02,1.215885328183705094e-02,1.215885328183705094e-02,6.765421556309547668e-17,-5.913508525169585382e-04,1.000000000000005329e+00,-3.994947533853208943e-02
4.000000000000000000e+00,2.149999999999999967e-01,-3.991310718709456529e-02,1.244787164458269202e-02,1.244787164458269202e-02,-4.683753385137379155e-17,-6.197980339200232208e-04,1.000000000000003775e+00,-3.991310718709456529e-02
4.000000000000000000e+00,2.200000000000000011e-01,-3.987589387300576743e-02,1.273685665308614025e-02,1.273685665308613851e-02,5.464378949326942347e-17,-6.489100696050586342e-04,1.000000000000004441e+00,-3.987589387300576743e-02
4.000000000000000000e+00,2.250000000000000056e-01,-3.983783612491384463e-02,1.302580750620727611e-02,1.302580750620727611e-02,-5.377642775528101993e-17,-6.786866447550633178e-04,1.000000000000004219e+00,-3.983783612491384463e-02
4.000000000000000000e+00,2.300000000000000100e-01,-3.979893469866212230e-02,1.331472364276464065e-02,1.331472364276464065e-02,-5.984795992119984476e-17,-7.091274627327826896e-04,1.000000000000004441e+00,-3.979893469866212230e-02
4.000000000000000000e+00,2.350000000000000144e-01,-3.975919031569409567e-02,1.360360421156895337e-02,1.360360421156895511e-02,2.081668171172168513e-17,-7.402321901800664209e-04,1.000000000000001776e+00,-3.975919031569409567e-02
4.000000000000000000e+00,2.399999999999999911e-01,-3.971860379499603244e-02,1.389244859884743340e-02,1.389244859884743340e-02,4.510281037539698445e-17,-7.720005122864720404e-04,1.000000000000003553e+00,-3.971860379499603244e-02
4.000000000000000000e+00,2.449999999999999956e-01,-3.967717589029894076e-02,1.418125593366739365e-02,1.418125593366739365e-02,-1.240327285323417073e-16,-8.044320794247065021e-04,1.000000000000008882e+00,-3.967717589029894076e-02
4.000000000000000000e+00,2.500000000000000000e-01,-3.963490743127633109e-02,1.447002564658025209e-02,1.447002564658025209e-02,7.199102425303749442e-17,-8.375265688507610960e-04,1.000000000000005107e+00,-3.963490743127633109e-02
4.000000000000000000e+00,2.550000000000000044e-01,-3.959179920110469236e-02,1.475875703911604629e-02,1.475875703911604803e-02,-7.025630077706068732e-17,-8.712836373586298894e-04,1.000000000000004663e+00,-3.959179920110469236e-02
4.000000000000000000e+00,2.600000000000000089e-01,-3.954785205474325993e-02,1.504744925530230627e-02,1.504744925530230454e-02,7.285838599102589797e-17,-9.057029163635915443e-04,1.000000000000004663e+00,-3.954785205474325993e-02
4.000000000000000000e+00,2.650000000000000133e-01,-3.950306686021856639e-02,1.533610177362835364e-02,1.533610177362835364e-02,1.188285581044112860e-16,-9.407840704443470349e-04,1.000000000000007550e+00,-3.950306686021856639e-02
4.000000000000000000e+00,2.700000000000000178e-01,-3.945744448080477224e-02,1.562471373170556260e-02,1.562471373170556260e-02,5.984795992119984476e-17,-9.765267167909933354e-04,1.000000000000004219e+00,-3.945744448080477224e-02
4.000000000000000000e+00,2.750000000000000222e-01,-3.941098576204497828e-02,1.591328460475927020e-02,1.591328460475927020e-02,1.266348137463069179e-16,-1.012930507648273455e-03,1.000000000000007994e+00,-3.941098576204497828e-02
4.000000000000000000e+00,2.800000000000000266e-01,-3.936369160277754936e-02,1.620181353633429189e-02,1.620181353633429189e-02,5.377642775528101993e-17,-1.049995047464580191e-03,1.000000000000003553e+00,-3.936369160277754936e-02
4.000000000000000000e+00,2.850000000000000311e-01,-3.931556292416028137e-02,1.649029996976660722e-02,1.649029996976660722e-02,-2.602085213965210642e-17,-1.087719972371538552e-03,1.000000000000001776e+00,-3.931556292416028137e-02
4.000000000000000000e+00,2.899999999999999800e-01,-3.926660068350095595e-02,1.677874314450241919e-02,1.677874314450241572e-02,-6.071532165918824830e-17,-1.126104886036747394e-03,1.000000000000003775e+00,-3.926660068350095595e-02
4.000000000000000000e+00,2.949999999999999845e-01,-3.921680574980769551e-02,1.706714241597125092e-02,1.706714241597125092e-02,-1.543903893619358314e-16,-1.165149400988179816e-03,1.000000000000009104e+00,-3.921680574980769551e-02
4.000000000000000000e+00,2.999999999999999889e-01,-3.916617913496824033e-02,1.735549713124646259e-02,1.735549713124646259e-02,1.890848588814719733e-16,-1.204853122690817012e-03,1.000000000000011102e+00,-3.916617913496824033e-02
4.000000000000000000e+00,3.049999999999999933e-01,-3.911472174080855846e-02,1.764380650715192955e-02,1.764380650715192955e-02,-8.326672684688674053e-17,-1.245215632247267164e-03,1.000000000000004663e+00,-3.911472174080855846e-02
4.000000000000000000e+00,3.099999999999999978e-01,-3.906243461467680256e-02,1.793207005332257686e-02,1.793207005332257686e-02,-6.765421556309547668e-17,-1.286236545589073115e-03,1.000000000000003775e+00,-3.906243461467680256e-02
4.000000000000000000e+00,3.150000000000000022e-01,-3.900931873031348446e-02,1.822028690475803805e-02,1.822028690475803805e-02,1.144917494144692682e-16,-1.327915419566788905e-03,1.000000000000006217e+00,-3.900931873031348446e-02
4.000000000000000000e+00,3.200000000000000067e-01,-3.895537507413341510e-02,1.850845660234883353e-02,1.850845660234883006e-02,-9.714451465470119729e-17,-1.370251863204120010e-03,1.000000000000005329e+00,-3.895537507413341510e-02
4.000000000000000000e+00,3.250000000000000111e-01,-3.890060468437506191e-02,1.879657831137915638e-02,1.879657831137915985e-02,5.724587470723463412e-17,-1.413245424863237513e-03,1.000000000000003331e+00,-3.890060468437506191e-02
4.000000000000000000e+00,3.300000000000000155e-01,-3.884500860797383132e-02,1.908465155074460726e-02,1.908465155074460379e-02,-8.500145032286354763e-17,-1.456895699253353939e-03,1.000000000000004663e+00,-3.884500860797383132e-02
4.000000000000000000e+00,3.350000000000000200e-01,-3.878858790217445951e-02,1.937267550978797465e-02,1.937267550978797465e-02,8.673617379884035472e-17,-1.501202225630155060e-03,1.000000000000004441e+00,-3.878858790217445951e-02
4.000000000000000000e+00,3.400000000000000244e-01,-3.873134357081088608e-02,1.966064970812677476e-02,1.966064970812677476e-02,2.602085213965210642e-17,-1.546164587782661564e-03,1.000000000000001554e+00,-3.873134357081088608e-02
4.000000000000000000e+00,3.450000000000000289e-01,-3.867327675893849487e-02,1.994857343938109470e-02,1.994857343938109123e-02,-3.642919299551294898e-17,-1.591782329065523230e-03,1.000000000000001776e+00,-3.867327675893849487e-02
4.000000000000000000e+00,3.500000000000000333e-01,-3.861438852430432167e-02,2.023644595741796656e-02,2.023644595741796656e-02,1.387778780781445676e-17,-1.638054979949991928e-03,1.000000000000000888e+00,-3.861438852430432167e-02
4.000000000000000000e+00,3.549999999999999822e-01,-3.855467998834341548e-02,2.052426683422424805e-02,2.052426683422424458e-02,-2.949029909160572061e-17,-1.684982116329749452e-03,1.000000000000001110e+00,-3.855467998834341548e-02
4.000000000000000000e+00,3.599999999999999867e-01,-3.849415227296074105e-02,2.081203523547538875e-02,2.081203523547538875e-02,9.540979117872439019e-17,-1.732563242570676117e-03,1.000000000000004441e+00,-3.849415227296074105e-02
4.000000000000000000e+00,3.649999999999999911e-01,-3.843280648134228539e-02,2.109975077380155800e-02,2.109975077380155800e-02,4.683753385137379155e-17,-1.780797930866158006e-03,1.000000000000002665e+00,-3.843280648134228539e-02
4.000000000000000000e+00,3.699999999999999956e-01,-3.837064373978544413e-02,2.138741260437802480e-02,2.138741260437802480e-02,-5.898059818321144121e-17,-1.829685671639632097e-03,1.000000000000003331e+00,-3.837064373978544413e-02
4.000000000000000000e+00,3.750000000000000000e-01,-3.830766528842058372e-02,2.167502031588872113e-02,2.167502031588872113e-02,1.092875789865388469e-16,-1.879226022776754991e-03,1.000000000000005107e+00,-3.830766528842058372e-02
4.000000000000000000e+00,3.800000000000000044e-01,-3.824387220912840724e-02,2.196257319179197379e-02,2.196257319179197032e-02,-5.030698080332740574e-17,-1.929418484819277625e-03,1.000000000000002220e+00,-3.824387220912840724e-02
4.000000000000000000e+00,3.850000000000000089e-01,-3.817926571107081724e-02,2.225007051441591291e-02,2.225007051441591291e-02,-5.204170427930421283e-17,-1.980262551585921463e-03,1.000000000000002442e+00,-3.817926571107081724e-02
4.000000000000000000e+00,3.900000000000000133e-01,-3.811384701520209584e-02,2.253751198706853073e-02,2.253751198706853073e-02,5.898059818321144121e-17,-2.031757786269030707e-03,1.000000000000002665e+00,-3.811384701520209584e-02
4.000000000000000000e+00,3.950000000000000178e-01,-3.804761734041408466e-02,2.282489688580900331e-02,2.282489688580900331e-02,7.979727989493312634e-17,-2.083903671391254021e-03,1.000000000000003775e+00,-3.804761734041408466e-02
4.000000000000000000e+00,4.000000000000000222e-01,-3.798057784585315289e-02,2.311222450954634328e-02,2.311222450954634328e-02,6.765421556309547668e-17,-2.136699687118699328e-03,1.000000000000003109e+00,-3.798057784585315289e-02
4.000000000000000000e+00,4.050000000000000266e-01,-3.791272976646545972e-02,2.339949431956735854e-02,2.339949431956735854e-02,-2.255140518769849223e-17,-2.190145337645860169e-03,1.000000000000001110e+00,-3.791272976646545972e-02
4.000000000000000000e+00,4.100000000000000311e-01,-3.784407439898642561e-02,2.368670577830040563e-02,2.368670577830040910e-02,-1.040834085586084257e-17,-2.244240122511080050e-03,1.000000000000000666e+00,-3.784407439898642561e-02
4.000000000000000000e+00,4.150000000000000355e-01,-3.777461299072944895e-02,2.397385843479726483e-02,2.397385843479726483e-02,-5.898059818321144121e-17,-2.298983553006799744e-03,1.000000000000002887e+00,-3.777461299072944895e-02
4.000000000000000000e+00,4.199999999999999845e-01,-3.770434678876594115e-02,2.426095148819277375e-02,2.426095148819277375e-02,1.266348137463069179e-16,-2.354375068449772890e-03,1.000000000000005551e+00,-3.770434678876594115e-02
4.000000000000000000e+00,4.249999999999999889e-01,-3.763327705225632397e-02,2.454798449389775788e-02,2.454798449389775788e-02,5.898059818321144121e-17,-2.410414170850578956e-03,1.000000000000002442e+00,-3.763327705225632397e-02
4.000000000000000000e+00,4.299999999999999933e-01,-3.756140510413513711e-02,2.483495694985934921e-02,2.483495694985934921e-02,-5.551115123125782702e-17,-2.467100346805468740e-03,1.000000000000002220e+00,-3.756140510413513711e-02
4.000000000000000000e+00,4.349999999999999978e-01,-3.748873224697778922e-02,2.512186819856846581e-02,2.512186819856846581e-02,2.949029909160572061e-17,-2.524433047144981901e-03,1.000000000000000888e+00,-3.748873224697778922e-02
4.000000000000000000e+00,4.400000000000000022e-01,-3.741525979630636045e-02,2.540871768069606976e-02,2.540871768069606629e-02,5.551115123125782702e-17,-2.582411736709267543e-03,1.000000000000002220e+00,-3.741525979630636045e-02
4.000000000000000000e+00,4.450000000000000067e-01,-3.734098906911634264e-02,2.569550501526001937e-02,2.569550501526001590e-02,6.071532165918824830e-17,-2.641035911957010686e-03,1.000000000000002665e+00,-3.734098906911634264e-02
4.000000000000000000e+00,4.500000000000000111e-01,-3.726592139163484307e-02,2.598222953192659210e-02,2.598222953192659210e-02,3.816391647148975608e-17,-2.700305005798873167e-03,1.000000000000001332e+00,-3.726592139163484307e-02
